motif	gene_symbol
AP2A.H13CORE.0.PSM.A	TFAP2A
AP2B.H13CORE.0.SM.B	TFAP2B
AP2C.H13CORE.0.PSM.A	TFAP2C
AP2E.H13CORE.0.SM.B	TFAP2E
ARI1A.H13CORE.0.P.C	ARID1A
ATF4.H13CORE.0.P.B	ATF4
ATF4.H13CORE.1.S.B	ATF4
ATF4.H13CORE.2.SM.B	ATF4
BATF.H13CORE.0.P.B	BATF
BATF.H13CORE.1.P.B	BATF
BATF2.H13CORE.0.PSG.A	BATF2
BATF3.H13CORE.0.P.B	BATF3
BATF3.H13CORE.1.P.B	BATF3
BATF3.H13CORE.2.SM.B	BATF3
FAM200B.H13CORE.0.PSGIB.A	FAM200B
ZBED1.H13CORE.0.S.B	ZBED1
ZBED2.H13CORE.0.PSGIB.A	ZBED2
ZBED4.H13CORE.0.SGIB.A	ZBED4
ZBED5.H13CORE.0.PSGIB.A	ZBED5
ZFTA.H13CORE.0.PSGIB.A	ZFTA
NACC2.H13CORE.0.PSGIB.A	NACC2
MAD4.H13CORE.0.P.C	MXD4
MAX.H13CORE.0.PS.A	MAX
MAX.H13CORE.1.M.C	MAX
MAX.H13CORE.2.S.C	MAX
MGA.H13CORE.0.PSG.A	MGA
MGAP.H13CORE.0.P.C	MGA
MGAP.H13CORE.1.S.B	MGA
MITF.H13CORE.0.P.B	MITF
MLX.H13CORE.0.PM.A	MLX
MLX.H13CORE.1.SM.B	MLX
MLXPL.H13CORE.0.S.B	MLXIPL
MNT.H13CORE.0.PS.A	MNT
MXI1.H13CORE.0.P.B	MXI1
MYC.H13CORE.0.P.B	MYC
MYCN.H13CORE.0.PS.A	MYCN
MYCN.H13CORE.1.M.C	MYCN
SRBP1.H13CORE.0.P.B	SREBF1
SRBP1.H13CORE.1.S.C	SREBF1
SRBP2.H13CORE.0.S.B	SREBF2
SRBP2.H13CORE.1.P.B	SREBF2
SRBP2.H13CORE.2.M.C	SREBF2
TFAP4.H13CORE.0.PSM.A	TFAP4
TFE3.H13CORE.0.PSM.A	TFE3
TFEB.H13CORE.0.SM.B	TFEB
TFEB.H13CORE.1.P.C	TFEB
TFEC.H13CORE.0.M.B	TFEC
TFEC.H13CORE.1.SM.B	TFEC
USF1.H13CORE.0.PSM.A	USF1
USF2.H13CORE.0.PSM.A	USF2
USF3.H13CORE.0.PSGIB.A	USF3
TBX19.H13CORE.0.PS.A	TBX19
TBX19.H13CORE.1.SM.B	TBX19
TBXT.H13CORE.0.PS.A	TBXT
TBXT.H13CORE.1.PSM.A	TBXT
POGK.H13CORE.0.SI.A	POGK
GATA1.H13CORE.0.P.B	GATA1
GATA1.H13CORE.1.PSM.A	GATA1
GATA2.H13CORE.0.PSM.A	GATA2
GATA2.H13CORE.1.P.B	GATA2
GATA3.H13CORE.0.PS.A	GATA3
GATA3.H13CORE.1.SM.B	GATA3
GATA4.H13CORE.0.PSM.A	GATA4
GATA5.H13CORE.0.SM.B	GATA5
GATA6.H13CORE.0.PSM.A	GATA6
GATAD2A.H13CORE.0.SG.A	GATAD2A
TRPS1.H13CORE.0.P.B	TRPS1
ZGLP1.H13CORE.0.SGB.A	ZGLP1
CEBPA.H13CORE.0.P.B	CEBPA
CEBPB.H13CORE.0.P.B	CEBPB
CEBPB.H13CORE.1.SM.B	CEBPB
CEBPD.H13CORE.0.P.B	CEBPD
CEBPD.H13CORE.1.SM.B	CEBPD
CEBPE.H13CORE.0.P.B	CEBPE
CEBPE.H13CORE.1.SM.B	CEBPE
CEBPG.H13CORE.0.P.B	CEBPG
CEBPG.H13CORE.1.SM.B	CEBPG
CEBPG.H13CORE.2.P.B	CEBPG
DBP.H13CORE.0.SM.B	DBP
DDIT3.H13CORE.0.P.B	DDIT3
HLF.H13CORE.0.P.B	HLF
HLF.H13CORE.1.SM.B	HLF
NFIL3.H13CORE.0.P.B	NFIL3
NFIL3.H13CORE.1.S.B	NFIL3
TEF.H13CORE.0.SM.B	TEF
CAMTA1.H13CORE.0.PSGI.A	CAMTA1
CAMTA2.H13CORE.0.PSGI.A	CAMTA2
CENPB.H13CORE.0.S.B	CENPB
JRK.H13CORE.0.PSGB.A	JRK
TIGD3.H13CORE.0.PSGIB.A	TIGD3
TIGD4.H13CORE.0.PSGI.A	TIGD4
TIGD5.H13CORE.0.SGI.A	TIGD5
TIGD7.H13CORE.0.SGIB.A	TIGD7
TF2L1.H13CORE.0.PSM.A	TFCP2L1
TF2L1.H13CORE.1.P.B	TFCP2L1
TFCP2.H13CORE.0.SM.B	TFCP2
TFCP2.H13CORE.1.SM.B	TFCP2
TFCP2.H13CORE.2.S.C	TFCP2
UBIP1.H13CORE.0.SM.B	UBP1
CXXC4.H13CORE.0.PSGIB.A	CXXC4
FBXL19.H13CORE.0.PSGIB.A	FBXL19
KDM2A.H13CORE.0.PSGB.A	KDM2A
KMT2A.H13CORE.0.P.B	KMT2A
KMT2B.H13CORE.0.P.B	KMT2B
MBD1.H13CORE.0.PSIB.A	MBD1
TET3.H13CORE.0.PSGIB.A	TET3
ATF1.H13CORE.0.P.B	ATF1
ATF1.H13CORE.1.P.B	ATF1
ATF6A.H13CORE.0.SM.B	ATF6
ATF6B.H13CORE.0.SM.B	ATF6B
CR3L1.H13CORE.0.PSM.A	CREB3L1
CR3L2.H13CORE.0.PS.A	CREB3L2
CR3L4.H13CORE.0.M.C	CREB3L4
CR3L4.H13CORE.1.S.C	CREB3L4
CREB1.H13CORE.0.PSM.A	CREB1
CREB3.H13CORE.0.SM.B	CREB3
CREB3L3.H13CORE.0.PSGIB.A	CREB3L3
CREM.H13CORE.0.PSM.A	CREM
CREM.H13CORE.1.P.C	CREM
SUH.H13CORE.0.P.B	RBPJ
YBOX1.H13CORE.0.SM.B	YBX1
DMRT1.H13CORE.0.PS.A	DMRT1
DMRT1.H13CORE.1.M.C	DMRT1
DMRT3.H13CORE.0.S.C	DMRT3
DMRTA.H13CORE.0.SM.B	DMRTA1
