motif	cluster	HGNC	HGNC_mm	sub_cluster	sub_cluster_name
AhrArnt_MA0006.2	C_Ahr::Arnt	AHR::ARNT	Ahr::Arnt	21A	C_HIF1A;HEY1
Alx1_MA0854.2	C_mix-a	ALX1	Alx1	22B	C_ALX1
ALX3_MA0634.2	C_mix-a	ALX3	Alx3	3A	C_HOXB3;HOXA2;DLX
Alx4_MA0853.2	C_Alx4	ALX4	Alx4	22B	C_ALX1
Ar_MA0007.4	C_Pgr	AR	Ar	19A	C_AR;NR3C1
ARGFX_MA1463.2	C_mix-a	ARGFX	NA	3A	C_HOXB3;HOXA2;DLX
Arid3a_MA0151.1	C_Arid3a	ARID3A	Arid3a	97A	C_ARID3A
Arid3b_MA0601.2	C_Arid3b	ARID3B	Arid3b	3A	C_HOXB3;HOXA2;DLX
Arid5a_MA0602.2	C_Arid5a	ARID5A	Arid5a	101A	C_ARID5A
Arnt_MA0004.1	C_Mlxip	ARNT	Arnt	21A	C_HIF1A;HEY1
ARNT2_MA1464.2	C_ARNT2	ARNT2	Arnt2	21A	C_HIF1A;HEY1
ARNTHIF1A_MA0259.2	C_Mlxip	ARNT::HIF1A	Arnt::Hif1A	21A	C_HIF1A;HEY1
Arntl_MA0603.2	C_ARNT2	ARNTL	Arntl	21A	C_HIF1A;HEY1
Arx_MA0874.2	C_Alx4	ARX	Arx	22B	C_ALX1
ASCL1_MA1100.3	C_Twist2	ASCL1	Ascl1	6A	C_ASCL;MYOD1
ASCL1_MA1631.2	C_TCF3	ASCL1	Ascl1	6A	C_ASCL;MYOD1
Ascl2_MA0816.1	C_Twist2	ASCL2	Ascl2	6A	C_ASCL;MYOD1
Atf1_MA0604.1	C_FOSL1::JUND	ATF1	Atf1	1A	C_ATF;FOS;JUN
ATF2_MA1632.2	C_FOSL2::JUN	ATF2	Atf2	1A	C_ATF;FOS;JUN
ATF3_MA0605.3	C_FOSL2::JUN	ATF3	Atf3	1A	C_ATF;FOS;JUN
Atf3_MA1988.2	C_FOS::JUND	ATF3	Atf3	1A	C_ATF;FOS;JUN
ATF4_MA0833.3	C_CEBPG	ATF4	Atf4	5A	C_CEBPA;DBP
ATF6_MA1466.2	C_CREB3	ATF6	Atf6	13B	C_SREBF;CREB3
ATF7_MA0834.2	C_FOSL2::JUN	ATF7	Atf7	1A	C_ATF;FOS;JUN
Atoh1_MA0461.3	C_Atoh1	ATOH1	Atoh1	6A	C_ASCL;MYOD1
Atoh1_MA1467.3	C_NEUROD1	ATOH1	Atoh1	6A	C_ASCL;MYOD1
ATOH7_MA1468.1	C_ATOH7	ATOH7	Atoh7	6A	C_ASCL;MYOD1
BACH1_MA1633.2	C_FOS::JUND	BACH1	Bach1	1A	C_ATF;FOS;JUN
Bach1Mafk_MA0591.2	C_MAFG::NFE2L1	BACH1::MAFK	Bach1::Mafk	1A	C_ATF;FOS;JUN
BACH2_MA1101.3	C_FOS::JUND	BACH2	Bach2	1A	C_ATF;FOS;JUN
BACH2_MA1470.2	C_BACH2	BACH2	Bach2	1A	C_ATF;FOS;JUN
BARHL1_MA0877.4	C_BARHL1	BARHL1	Barhl1	10B	C_BARHL
BARHL2_MA0635.2	C_BARHL1	BARHL2	Barhl2	10B	C_BARHL
BARX1_MA0875.2	C_Dlx2	BARX1	Barx1	3A	C_HOXB3;HOXA2;DLX
BARX2_MA1471.2	C_BARX2	BARX2	Barx2	41A	C_LHX3;MEIS;HNF1A;POU4F3
BATF_MA1634.2	C_FOS::JUND	BATF	Batf	1A	C_ATF;FOS;JUN
BATF3_MA0835.3	C_FOS::JUND	BATF3	Batf3	1A	C_ATF;FOS;JUN
BATFJUN_MA0462.3	C_FOS::JUND	BATF::JUN	Batf::Jun	1A	C_ATF;FOS;JUN
BCL11A_MA2324.1	C_BCL11A	BCL11A	Bcl11a	60A	C_Bcl11B
Bcl11B_MA1989.2	C_Bcl11B	BCL11B	Bcl11B	60A	C_Bcl11B
BCL6_MA0463.3	C_BCL6	BCL6	Bcl6	43A	C_BCL6;STAT4-6
BCL6B_MA0731.1	C_BCL6B	BCL6B	Bcl6b	43A	C_BCL6;STAT4-6
