motif	cluster	gene_symbol
AhrArnt_MA0006.2	C_Ahr::Arnt	Ahr::Arnt
Alx1_MA0854.2	C_mix-a	Alx1
ALX3_MA0634.2	C_mix-a	Alx3
Alx4_MA0853.2	C_Alx4	Alx4
Ar_MA0007.4	C_Pgr	Ar
ARGFX_MA1463.2	C_mix-a	
Arid3a_MA0151.1	C_Arid3a	Arid3a
Arid3b_MA0601.2	C_Arid3b	Arid3b
Arid5a_MA0602.2	C_Arid5a	Arid5a
Arnt_MA0004.1	C_Mlxip	Arnt
ARNT2_MA1464.2	C_ARNT2	Arnt2
ARNTHIF1A_MA0259.2	C_Mlxip	Arnt::Hif1A
Arntl_MA0603.2	C_ARNT2	Arntl
Arx_MA0874.2	C_Alx4	Arx
ASCL1_MA1100.3	C_Twist2	Ascl1
ASCL1_MA1631.2	C_TCF3	Ascl1
Ascl2_MA0816.1	C_Twist2	Ascl2
Atf1_MA0604.1	C_FOSL1::JUND	Atf1
ATF2_MA1632.2	C_FOSL2::JUN	Atf2
ATF3_MA0605.3	C_FOSL2::JUN	Atf3
Atf3_MA1988.2	C_FOS::JUND	Atf3
ATF4_MA0833.3	C_CEBPG	Atf4
ATF6_MA1466.2	C_CREB3	Atf6
ATF7_MA0834.2	C_FOSL2::JUN	Atf7
Atoh1_MA0461.3	C_Atoh1	Atoh1
Atoh1_MA1467.3	C_NEUROD1	Atoh1
ATOH7_MA1468.1	C_ATOH7	Atoh7
BACH1_MA1633.2	C_FOS::JUND	Bach1
Bach1Mafk_MA0591.2	C_MAFG::NFE2L1	Bach1::Mafk
BACH2_MA1101.3	C_FOS::JUND	Bach2
BACH2_MA1470.2	C_BACH2	Bach2
BARHL1_MA0877.4	C_BARHL1	Barhl1
BARHL2_MA0635.2	C_BARHL1	Barhl2
BARX1_MA0875.2	C_Dlx2	Barx1
BARX2_MA1471.2	C_BARX2	Barx2
BATF_MA1634.2	C_FOS::JUND	Batf
BATF3_MA0835.3	C_FOS::JUND	Batf3
BATFJUN_MA0462.3	C_FOS::JUND	Batf::Jun
BCL11A_MA2324.1	C_BCL11A	Bcl11a
Bcl11B_MA1989.2	C_Bcl11B	Bcl11B
BCL6_MA0463.3	C_BCL6	Bcl6
BCL6B_MA0731.1	C_BCL6B	Bcl6b
BHLHA15_MA0607.2	C_ATOH7	Bhlha15
Bhlha15_MA1472.3	C_Twist2	Bhlha15
BHLHE22_MA0818.2	C_ATOH7	Bhlhe22
BHLHE22_MA1635.2	C_Twist2	Bhlhe22
BHLHE23_MA0817.2	C_ATOH7	Bhlhe23
BHLHE40_MA0464.3	C_ARNT2	Bhlhe40
BHLHE41_MA0636.1	C_BHLHE41	Bhlhe41
BNC2_MA1928.2	C_FOS::JUND	Bnc2
BSX_MA0876.2	C_Dlx2	Bsx
CDX1_MA0878.3	C_HOXA10	Cdx1
CDX2_MA0465.3	C_HOXB13	Cdx2
CDX4_MA1473.2	C_HOXA10	Cdx4
CEBPA_MA0102.5	C_CEBPB	Cebpa
CEBPB_MA0466.4	C_CEBPB	Cebpb
CEBPD_MA0836.3	C_CEBPB	Cebpd
CEBPE_MA0837.3	C_CEBPB	Cebpe
CEBPG_MA0838.1	C_CEBPB	Cebpg
CEBPG_MA1636.2	C_CEBPG	Cebpg
CLOCK_MA0819.3	C_Mlxip	Clock
CREB1_MA0018.5	C_FOSL2::JUN	Creb1
CREB3_MA0638.2	C_CREB3	Creb3
CREB3L1_MA0839.2	C_CREB3	Creb3l1
Creb3l2_MA0608.1	C_Creb3l2	Creb3l2
CREB3L4_MA1474.2	C_CREB3L4	Creb3l4
CREB3L4_MA1475.2	C_FOSL2::JUN	Creb3l4
Creb5_MA0840.2	C_FOSL2::JUN	Creb5
CREM_MA0609.3	C_FOSL2::JUN	Crem
Crx_MA0467.3	C_RHOXF1	Crx
CTCF_MA0139.2	C_CTCF	Ctcf
CTCF_MA1929.2	C_CTCF	Ctcf
CTCF_MA1930.2	C_CTCF	Ctcf
CTCFL_MA1102.3	C_CTCFL	Ctcfl
CUX1_MA0754.3	C_ONECUT3	Cux1
CUX2_MA0755.2	C_ONECUT3	Cux2
DBP_MA0639.2	C_DBP	Dbp
Ddit3Cebpa_MA0019.2	C_Ddit3::Cebpa	Ddit3::Cebpa
DLX1_MA0879.3	C_Dlx2	Dlx1
Dlx2_MA0885.3	C_Dlx2	Dlx2
Dlx3_MA0880.2	C_Dlx2	Dlx3
Dlx4_MA0881.2	C_Dlx2	Dlx4
Dlx5_MA1476.3	C_Dlx2	Dlx5
DLX6_MA0882.2	C_mix-a	Dlx6
Dmbx1_MA0883.2	C_RHOXF1	Dmbx1
Dmrt1_MA1603.2	C_Dmrt1	Dmrt1
DMRT3_MA0610.2	C_DMRT3	Dmrt3
DMRTA1_MA1707.2	C_DMRTA1	Dmrta1
DMRTA2_MA1478.2	C_DMRTA2	Dmrta2
DMRTC2_MA1479.2	C_DMRTC2	Dmrtc2
DPRX_MA1480.2	C_DPRX	
DRGX_MA1481.2	C_mix-a	Drgx
Dux_MA0611.3	C_Dux	Dux
DUX4_MA0468.1	C_DUX4	Dux
DUXA_MA0884.2	C_DUXA	Dux
E2F1_MA0024.3	C_E2F4	E2f1
E2F2_MA0864.3	C_E2F4	E2f2
E2F3_MA0469.4	C_E2F3	E2f3
E2F4_MA0470.3	C_E2F4	E2f4
E2F6_MA0471.3	C_E2F6	E2f6
E2F7_MA0758.1	C_E2F7	E2f7
E2F8_MA0865.3	C_E2F8	E2f8
EBF1_MA0154.5	C_EBF1	Ebf1
Ebf2_MA1604.2	C_EBF3	Ebf2
EBF3_MA1637.2	C_EBF3	Ebf3
Ebf4_MA2122.1	C_EBF1	Ebf4
EGR1_MA0162.5	C_EGR1	Egr1
EGR2_MA0472.2	C_EGR1	Egr2
EGR3_MA0732.2	C_EGR1	Egr3
EGR4_MA0733.2	C_EGR1	Egr4
EHF_MA0598.4	C_GABPA	Ehf
ELF1_MA0473.4	C_GABPA	Elf1
ELF2_MA1483.3	C_ELF2	Elf2
ELF3_MA0640.3	C_GABPA	Elf3
ELF4_MA0641.1	C_ELF2	Elf4
Elf5_MA0136.4	C_IKZF2	Elf5
ELK1_MA0028.3	C_ETS1	Elk1
ELK1HOXA1_MA1931.1	C_ELK1::HOXA1	Elk1::Hoxa1
ELK1HOXB13_MA1932.2	C_ELK1::HOXB13	Elk1::Hoxb13
ELK1SREBF2_MA1933.2	C_ELK1::SREBF2	Erf::Hoxb13
ELK3_MA0759.3	C_ETS1	Elk3
ELK4_MA0076.3	C_ETS1	Elk4
EMX1_MA0612.3	C_mix-a	Emx1
EMX2_MA0886.2	C_mix-a	Emx2
EN1_MA0027.3	C_mix-a	En1
EN2_MA0642.3	C_PRRX2	En2
EOMES_MA0800.2	C_TBX2	Eomes
EPAS1_MA2325.1	C_EPAS1	Epas1
ERF_MA0760.2	C_ETS1	Erf
ERFFIGLA_MA1934.2	C_ETV5::FIGLA	Erf::Figla
ERFFOXI1_MA1935.2	C_ETV2::FOXI1	Erf::Foxi1
ERFFOXO1_MA1936.2	C_FOXO1::ELK1	Erf::Foxo1
